hdbscan_cluster,count,mean,std,min,max,metric
-1,350,254.45142857142858,353.3889497183712,0.0,3306.0,bare_routed_2q
0,548,278.81021897810217,213.2747636145287,0.0,828.0,bare_routed_2q
1,128,61.9921875,14.630620512968283,15.0,90.0,bare_routed_2q
2,38,31.94736842105263,10.795262645731563,6.0,60.0,bare_routed_2q
3,421,185.13064133016627,59.541938295761724,42.0,315.0,bare_routed_2q
4,50,87.24,11.982231743336483,60.0,120.0,bare_routed_2q
5,56,595.3928571428571,425.0847478528755,66.0,1682.0,bare_routed_2q
6,33,1143.7575757575758,720.9454309404696,91.0,2512.0,bare_routed_2q
7,40,78.6,36.491516400812515,33.0,168.0,bare_routed_2q
8,41,58.390243902439025,28.42963071232239,18.0,123.0,bare_routed_2q
9,52,54.46153846153846,25.830109758492057,21.0,111.0,bare_routed_2q
10,38,116.44736842105263,40.6871368001698,57.0,201.0,bare_routed_2q
11,74,85.74324324324324,12.153201067480019,60.0,120.0,bare_routed_2q
12,29,91.03448275862068,10.245147836278017,75.0,108.0,bare_routed_2q
13,49,71.57142857142857,12.654050734843764,42.0,99.0,bare_routed_2q
14,32,274.875,70.73793069287282,153.0,399.0,bare_routed_2q
15,130,303.2769230769231,106.36386395929134,108.0,507.0,bare_routed_2q
16,73,113.87671232876713,12.414088329035518,87.0,135.0,bare_routed_2q
17,35,109.2,11.98233994628075,84.0,135.0,bare_routed_2q
18,48,138.875,16.442841034218986,105.0,174.0,bare_routed_2q
19,35,142.37142857142857,15.763109790016083,108.0,171.0,bare_routed_2q
20,46,171.3913043478261,17.693034738587652,144.0,207.0,bare_routed_2q
21,33,153.9090909090909,16.694616715358496,126.0,183.0,bare_routed_2q
22,32,169.78125,21.29324347632214,129.0,204.0,bare_routed_2q
23,55,153.0,22.368132093076827,108.0,195.0,bare_routed_2q
24,29,244.6551724137931,26.1360121863479,198.0,288.0,bare_routed_2q
25,32,200.15625,16.785380303570236,171.0,228.0,bare_routed_2q
26,36,203.33333333333334,14.018355314168838,189.0,243.0,bare_routed_2q
27,38,234.39473684210526,20.70453596167602,204.0,288.0,bare_routed_2q
28,46,233.2173913043478,27.65092969582539,189.0,306.0,bare_routed_2q
29,29,250.75862068965517,24.418457849418793,207.0,288.0,bare_routed_2q
30,41,242.9268292682927,26.26917418182616,189.0,297.0,bare_routed_2q
31,36,209.33333333333334,15.892495983055293,183.0,240.0,bare_routed_2q
32,43,267.4186046511628,19.41554673836155,240.0,309.0,bare_routed_2q
33,31,268.5483870967742,25.57190999212146,231.0,306.0,bare_routed_2q
-1,350,479.16,599.066004275414,6.0,4819.0,bare_routed_depth
0,548,500.7846715328467,310.0291918532377,4.0,1251.0,bare_routed_depth
1,128,95.6484375,22.35173013569766,52.0,168.0,bare_routed_depth
2,38,43.68421052631579,12.34658342752598,25.0,79.0,bare_routed_depth
3,421,335.75771971496437,77.61985029940601,155.0,571.0,bare_routed_depth
4,50,224.48,38.11595627095009,147.0,307.0,bare_routed_depth
5,56,1229.2857142857142,720.5143545169209,237.0,3192.0,bare_routed_depth
6,33,1904.6363636363637,963.3814087039274,330.0,3813.0,bare_routed_depth
7,40,156.875,40.48626706073087,92.0,242.0,bare_routed_depth
8,41,98.29268292682927,50.07406709187852,32.0,241.0,bare_routed_depth
9,52,120.5,35.56463323661447,76.0,228.0,bare_routed_depth
10,38,214.18421052631578,57.307541724881865,113.0,354.0,bare_routed_depth
11,74,210.7027027027027,36.74000832571241,136.0,278.0,bare_routed_depth
12,29,231.0,35.30277204817937,179.0,287.0,bare_routed_depth
13,49,191.55102040816325,28.66477311417404,141.0,242.0,bare_routed_depth
14,32,458.1875,87.57722398712079,274.0,625.0,bare_routed_depth
15,130,539.1461538461539,125.88490569252721,304.0,858.0,bare_routed_depth
16,73,263.2328767123288,33.70604979819613,196.0,347.0,bare_routed_depth
17,35,247.94285714285715,24.80505505542209,180.0,281.0,bare_routed_depth
18,48,277.875,52.6079942958272,182.0,373.0,bare_routed_depth
19,35,299.0857142857143,31.721556438124903,230.0,358.0,bare_routed_depth
20,46,303.60869565217394,59.94496670961144,210.0,421.0,bare_routed_depth
21,33,307.45454545454544,45.20445975584911,233.0,381.0,bare_routed_depth
22,32,312.3125,54.87489437127023,229.0,420.0,bare_routed_depth
23,55,289.8909090909091,45.23955689899613,225.0,416.0,bare_routed_depth
24,29,367.62068965517244,70.47614276836799,265.0,477.0,bare_routed_depth
25,32,338.53125,61.79100277705119,245.0,492.0,bare_routed_depth
26,36,362.47222222222223,51.22024494341561,247.0,446.0,bare_routed_depth
27,38,382.42105263157896,28.650391798601486,342.0,448.0,bare_routed_depth
28,46,384.54347826086956,64.30576491237923,242.0,484.0,bare_routed_depth
29,29,388.1034482758621,66.37896871513394,290.0,511.0,bare_routed_depth
30,41,400.0,58.6655776414074,316.0,504.0,bare_routed_depth
31,36,365.30555555555554,45.72265424394247,276.0,468.0,bare_routed_depth
32,43,373.90697674418607,56.92510282044727,260.0,477.0,bare_routed_depth
33,31,414.16129032258067,52.21117171269864,336.0,519.0,bare_routed_depth
-1,349,2.0156717642212247,0.11544654886723493,1.6065573770491803,2.4,mirror_over_bare_2q
0,546,2.0296109204687203,0.09859902475457104,1.4375,2.382978723404255,mirror_over_bare_2q
1,128,1.8671387379890094,0.23127520492799822,1.3333333333333333,2.4705882352941178,mirror_over_bare_2q
2,38,1.3994129760261278,0.49422079024397625,0.5217391304347826,2.0,mirror_over_bare_2q
3,421,2.0057068171834374,0.11204438431072301,1.6626506024096386,2.333333333333333,mirror_over_bare_2q
4,50,2.0279900268869677,0.08887487659399887,1.7419354838709675,2.25,mirror_over_bare_2q
5,56,2.0971288255740705,0.10997516967093787,1.77,2.4731543624161074,mirror_over_bare_2q
6,33,2.031042698880884,0.08318721918611319,1.9002463054187195,2.3642857142857143,mirror_over_bare_2q
7,40,1.9725201655705447,0.10668200532920877,1.6170212765957446,2.1951219512195124,mirror_over_bare_2q
8,41,1.9985570711350142,0.10957285647488754,1.641025641025641,2.25,mirror_over_bare_2q
9,52,2.008333005394657,0.16070437072210272,1.619047619047619,2.769230769230769,mirror_over_bare_2q
10,38,2.0307514491567464,0.10635237886017825,1.7142857142857142,2.2564102564102564,mirror_over_bare_2q
11,74,2.016186330916587,0.08253159775353461,1.7419354838709675,2.25,mirror_over_bare_2q
12,29,2.0605193225763974,0.09510330825349503,1.9393939393939397,2.2222222222222223,mirror_over_bare_2q
13,49,2.020084745186786,0.06890404439696658,1.88,2.242424242424242,mirror_over_bare_2q
14,32,1.9905376568212747,0.0788594132681411,1.8166666666666669,2.1444444444444444,mirror_over_bare_2q
15,130,2.0356652548316783,0.10126593514080752,1.7687074829931972,2.324561403508772,mirror_over_bare_2q
16,73,2.021793095757837,0.09665555967520321,1.8285714285714283,2.294117647058824,mirror_over_bare_2q
17,35,2.048319617687154,0.1141881560005154,1.8421052631578947,2.2777777777777777,mirror_over_bare_2q
18,48,2.0175400469094984,0.058616779837882986,1.9019607843137252,2.136363636363636,mirror_over_bare_2q
19,35,2.0046472173638974,0.08846378173926402,1.7894736842105263,2.1666666666666665,mirror_over_bare_2q
20,46,2.0436327841995854,0.1151409965603736,1.8870967741935485,2.333333333333333,mirror_over_bare_2q
21,33,2.0271733385728257,0.10762880583945751,1.819672131147541,2.261904761904762,mirror_over_bare_2q
22,32,2.009401439758062,0.14815848190773942,1.7407407407407407,2.2241379310344827,mirror_over_bare_2q
23,55,2.0380603388784246,0.10116882943827125,1.8461538461538465,2.302325581395349,mirror_over_bare_2q
24,29,2.0414552346999786,0.10159741407346545,1.89010989010989,2.2705882352941176,mirror_over_bare_2q
25,32,2.002731558730582,0.11684462543223277,1.75,2.2058823529411766,mirror_over_bare_2q
26,36,2.009567711955287,0.08561627834736356,1.8630136986301369,2.164383561643836,mirror_over_bare_2q
27,38,2.004463443088903,0.13774923727272098,1.7721518987341771,2.25,mirror_over_bare_2q
28,46,1.997936727641092,0.09767543755939855,1.827956989247312,2.213333333333334,mirror_over_bare_2q
29,29,2.005175418539751,0.13264122286059452,1.7530864197530864,2.255813953488372,mirror_over_bare_2q
30,41,1.975143546770659,0.12145220502069586,1.7058823529411764,2.260869565217391,mirror_over_bare_2q
31,36,1.9666109350443943,0.12433461770775006,1.7313432835820894,2.257142857142857,mirror_over_bare_2q
32,43,1.9529929391101808,0.12339883463802778,1.7349397590361446,2.175824175824176,mirror_over_bare_2q
33,31,1.9301698287260702,0.12176422875217724,1.6626506024096386,2.073170731707317,mirror_over_bare_2q
